"animal_id","name","datetime","monthyear","date_of_birth","outcome_type","outcome_subtype","animal_type","sex_upon_outcome","age_upon_outcome","breed","color"
"A828834",,"2021-01-27T08:58:00.000","2021-01-27T08:58:00.000","2020-01-27T00:00:00.000","Euthanasia","Rabies Risk","Other","Unknown","1 year","Bat","Black"
"A554278","Oscar","2021-01-27T08:55:00.000","2021-01-27T08:55:00.000","2007-11-09T00:00:00.000","Adoption","Foster","Dog","Neutered Male","13 years","Dachshund Mix","Brown/White"
"A827385","Mittens","2021-01-27T08:51:00.000","2021-01-27T08:51:00.000","2019-12-20T00:00:00.000","Adoption","Foster","Cat","Spayed Female","1 year","Domestic Shorthair","Blue Tabby/White"
"A824919","*Mac","2021-01-27T08:43:00.000","2021-01-27T08:43:00.000","2020-08-28T00:00:00.000","Adoption","Foster","Cat","Neutered Male","4 months","Domestic Shorthair","Black/White"
"A828689",,"2021-01-27T08:14:00.000","2021-01-27T08:14:00.000","2019-01-23T00:00:00.000","Transfer","Partner","Cat","Intact Male","2 years","Domestic Shorthair","Black"
"A828465","Max","2021-01-26T17:54:00.000","2021-01-26T17:54:00.000","2014-01-17T00:00:00.000","Transfer","Partner","Cat","Neutered Male","7 years","Domestic Shorthair","Orange Tabby"
"A822473","Blue","2021-01-26T17:48:00.000","2021-01-26T17:48:00.000","2015-09-03T00:00:00.000","Return to Owner",,"Dog","Neutered Male","5 years","Pit Bull","Blue Cream/White"
"A828531","*Roy","2021-01-26T17:05:00.000","2021-01-26T17:05:00.000","2020-01-19T00:00:00.000","Adoption",,"Other","Neutered Male","1 year","Guinea Pig","Tricolor"
"A828530","*Siegfried","2021-01-26T17:04:00.000","2021-01-26T17:04:00.000","2020-01-19T00:00:00.000","Adoption",,"Other","Intact Female","1 year","Guinea Pig","Tan/White"
"A827340","Max","2021-01-26T16:58:00.000","2021-01-26T16:58:00.000","2018-01-18T00:00:00.000","Adoption",,"Dog","Neutered Male","3 years","German Shepherd","Black/Brown"
"A827714","*Winston","2021-01-26T16:31:00.000","2021-01-26T16:31:00.000","2019-06-30T00:00:00.000","Adoption",,"Cat","Neutered Male","1 year","Domestic Shorthair","Blue"
"A828730","Dede","2021-01-26T15:26:00.000","2021-01-26T15:26:00.000","2019-01-25T00:00:00.000","Transfer","Partner","Dog","Intact Female","2 years","French Bulldog","Black/White"
"A824156","*Stewie","2021-01-26T15:09:00.000","2021-01-26T15:09:00.000","2020-08-23T00:00:00.000","Adoption","Foster","Cat","Neutered Male","5 months","Domestic Shorthair","Black"
"A788612","Bo","2021-01-26T14:09:00.000","2021-01-26T14:09:00.000","2018-02-05T00:00:00.000","Return to Owner",,"Dog","Neutered Male","2 years","Boxer Mix","Tan/White"
"A755468","Stella/Ruthie","2021-01-26T13:52:00.000","2021-01-26T13:52:00.000","2017-02-08T00:00:00.000","Return to Owner",,"Dog","Spayed Female","3 years","Pit Bull Mix","White/Brown"
"A808273","Easy E","2021-01-26T13:07:00.000","2021-01-26T13:07:00.000","2019-05-23T00:00:00.000","Adoption","Foster","Dog","Neutered Male","1 year","Blue Lacy Mix","Tan/Tricolor"
"A825254","*Faye","2021-01-26T11:42:00.000","2021-01-26T11:42:00.000","2019-10-30T00:00:00.000","Adoption","Foster","Cat","Spayed Female","1 year","Domestic Shorthair","White"
"A828509","*Parker","2021-01-26T11:34:00.000","2021-01-26T11:34:00.000","2020-08-19T00:00:00.000","Adoption",,"Dog","Spayed Female","5 months","Labrador Retriever/Dachshund","Black/White"
"A825496","*Shoto","2021-01-26T11:32:00.000","2021-01-26T11:32:00.000","2020-09-13T00:00:00.000","Adoption","Foster","Cat","Neutered Male","4 months","Domestic Shorthair Mix","Black"
